	name	rating(out of 5)	rating_count	delivery_fee	min_order	delivery_option	food
195	Pizza hut	4.1	1213.0	Free delivery	No minimum		['Chicken', 'Meat', 'Salad', 'Soup', 'Super Discount', 'Desserts', 'Sandwiches', 'Vegetarian', 'Pizza']
196	Paneera Express	3.5	59.0	Free delivery	No minimum	foodpanda delivery	['Pasta', 'Salad', 'Paratha', 'Steaks', 'Roll Paratha', 'Beverage', 'Chinese', 'Desserts', 'Pakistani']
197	Guilty Pleasures	2.0	6.0	Free delivery	No minimum	foodpanda delivery	['Desserts', 'Beverage']
198	Burger King	4.4	26.0	Free delivery	No minimum	Restaurant Own delivery	['Super Discount', 'American', 'Beverage', 'Burgers', 'Desserts', 'Sandwiches', 'Seafood', 'Fast Food']
199	Food Spot - PAF Market	3.2	22.0	Free delivery	No minimum	foodpanda delivery	['Pakistani', 'Fast Food']
200	Haji Hotel			Free delivery	No minimum	foodpanda delivery	['Chicken', 'Pakistani']
201	Usman Restaurant			Free delivery	No minimum	foodpanda delivery	['Chicken', 'Pakistani']
202	Spice Kraft			Free delivery	No minimum	foodpanda delivery	['Karahi', 'Pakistani']
203	Lahore Chatkhara - DHA Phase 1			Free delivery	No minimum	Restaurant Own delivery	['Fast Food', 'Pakistani']
204	Star Gyro			Free delivery	No minimum	foodpanda delivery	['Chicken', 'Fast Food', 'Fast Food']
205	Lahori Spicy Biryani	4.1	11.0	Free delivery	No minimum	foodpanda delivery	['Rice', 'Super Discount', 'Pakistani']
206	Bony's Wok	5.0	2.0	Free delivery	No minimum	foodpanda delivery	['Japanese', 'Chinese']
207	Tandoor Restaurant	5.0	2.0	Free delivery	No minimum	Restaurant Own delivery	['BBQ', 'Karahi', 'Tandoor', 'Beverage', 'Burgers', 'Chinese', 'Sandwiches', 'Pakistani']
208	The Chinese Express - Dha			Free delivery	No minimum	foodpanda delivery	['Fried Chicken', 'Rice', 'Beverage', 'Chinese']
209	Royal Kulfi - DHA			Free delivery	No minimum		['Desserts']
210	Pizza Time	3.6	215.0	Free delivery	No minimum	foodpanda delivery	['Pizza']
211	A Dar Ul Mahi			Free delivery	No minimum	foodpanda delivery	['BBQ', 'Fish', 'Pakistani']
212	Al-Minal	4.0	149.0	Free delivery	No minimum	foodpanda delivery	['BBQ', 'Chicken', 'Fish', 'Ice Cream', 'Meat', 'Beverage', 'Chinese', 'Desserts', 'Pakistani', 'Pizza', 'Seafood', 'Middle Eastern']
213	A. Butt Karahi	3.8	47.0	Free delivery	No minimum	foodpanda delivery	['BBQ', 'Karahi', 'Tandoor', 'Pakistani']
214	A - China Town	3.9	161.0	Free delivery	No minimum	foodpanda delivery	['Chinese']
215	Foodie Express	3.8	715.0	Free delivery	No minimum	foodpanda delivery	['Fast Food', 'Chinese']
216	Karachi Hot & Pepper			Free delivery	No minimum	foodpanda delivery	['Burgers', 'Chinese', 'Sandwiches', 'Fast Food']
217	Speedy Boys Kitchen	4.4	5.0	Free delivery	No minimum	foodpanda delivery	['Asian', 'Fast Food', 'Italian', 'Pakistani']
218	Bake Mania			Free delivery	No minimum	foodpanda delivery	['BBQ', 'Cakes & Bakery', 'Pizza']
219	Chilliate			Free delivery	No minimum	foodpanda delivery	['Finger Foods', 'Wraps', 'Mexican']
220	Food Fashion	4.1	6.0	Free delivery	No minimum	foodpanda delivery	['Italian', 'Fast Food']
221	Burger District by Kings & Queens	3.4	33.0	Free delivery	No minimum		['Fast Food']
222	Karachi Hot N Spicy - DHA	4.0	27.0	Free delivery	No minimum		['Fast Food', 'Salad', 'Soup', 'Burgers', 'Chinese', 'Pizza', 'Sandwiches', 'Pakistani']
223	Jimmy's			Free delivery	No minimum	foodpanda delivery	['Beverage', 'Burgers', 'Desserts', 'Sandwiches', 'Fast Food']
224	Delhi Nihari House	3.2	31.0	Free delivery	No minimum	foodpanda delivery	['Pakistani']
225	Al-Beirut Lebanese Cuisine Lahore- DHA	4.1	557.0	Free delivery	No minimum	foodpanda delivery	['Fish', 'Salad', 'Desserts', 'Lebanese', 'Sandwiches', 'Seafood', 'Middle Eastern']
226	Aslam Dahi Bhalay	3.9	168.0	Free delivery	No minimum	foodpanda delivery	['Ice Cream', 'Wraps', 'Ice Cream Shakes', 'Juices', 'Coffee', 'Burgers', 'Fast Food', 'International', 'Sandwiches', 'Beverage']
227	Chalky			Free delivery	No minimum	foodpanda delivery	['Chicken', 'Spicy', 'Turkish']
228	Krem	3.4	13.0	Free delivery	No minimum	foodpanda delivery	['Ice Cream', 'Ice Cream Shakes', 'Beverage', 'Desserts']
229	Defence Dhaba - Barkat Market	3.2	9.0	Free delivery	No minimum		['Seafood', 'Pakistani']
230	Tandoori Chaye Company			Free delivery	No minimum	foodpanda delivery	['Chicken', 'Finger Foods', 'Ice Cream Shakes', 'Paratha', 'Tea', 'Coffee', 'Beverage', 'Burgers', 'Desserts', 'Sandwiches', 'Fast Food']
231	Nainu's Pizza - Dha	3.0	1.0	Free delivery	No minimum	foodpanda delivery	['Italian', 'Pizza']
232	Bread & Beyond	3.8	97.0	Free delivery	No minimum	foodpanda delivery	['Pizza', 'Sandwiches']
233	La Downtown - DHA	4.1	686.0	Free delivery	No minimum	foodpanda delivery	['Super Discount', 'Burgers', 'Chinese', 'Italian', 'Pizza']
234	Karachi Kanteen - DHA	3.9	56.0	Free delivery	No minimum	foodpanda delivery	['Rice', 'Roll Paratha', 'Super Discount', 'Asian', 'Pakistani']
235	Taoyuan Chinese - DHA	4.1	48.0	Free delivery	No minimum	foodpanda delivery	['Chinese']
236	Pizza & Steaks - DHA & Bahria			Free delivery	No minimum		['Chicken', 'Fast Food', 'Meat', 'Italian', 'Vegetarian', 'Pizza']
237	Pizza & Steak - DHA	3.7	2183.0	Free delivery	No minimum	foodpanda delivery	['Chicken', 'Fast Food', 'Meat', 'Italian', 'Vegetarian', 'Pizza']
238	Thali Restaurant	4.0	18.0	Free delivery	No minimum	foodpanda delivery	['Pizza', 'Pakistani']
239	Little Chef	3.4	23.0	Free delivery	No minimum	foodpanda delivery	['BBQ', 'Fried Chicken', 'Rice', 'Salad', 'Wraps', 'Karahi', 'Roll Paratha', 'Tandoor', 'Beverage', 'Chinese', 'Pakistani', 'Sandwiches', 'Seafood', 'Fast Food']
240	Tandoor Restaurant	4.1	1740.0	Free delivery	No minimum	foodpanda delivery	['Super Discount', 'Burgers', 'Chinese', 'Pizza', 'Seafood', 'Pakistani']
241	Meat Head - DHA	3.5	19.0	Free delivery	No minimum	foodpanda delivery	['Chinese', 'Pizza', 'Fast Food']
242	AR Quality Foods			Free delivery	No minimum	foodpanda delivery	['BBQ', 'Rice', 'Paratha', 'Karahi', 'Tandoor', 'Beverage', 'Pakistani']
243	Karachi BBQ - DHA	4.0	1162.0	Free delivery	No minimum	foodpanda delivery	['Super Discount', 'Beverage', 'Burgers', 'Chinese', 'Pakistani']
244	Salto			Free delivery	No minimum	foodpanda delivery	['Chicken', 'Fast Food', 'Fast Food']
245	Biryani Express KHAS	3.9	3260.0	Free delivery	No minimum	foodpanda delivery	['Chicken', 'Rice', 'Pakistani']
246	Red Apple	3.8	88.0	Free delivery	No minimum	foodpanda delivery	['BBQ', 'Chicken', 'Rice', 'Soup', 'Wraps', 'Roll Paratha', 'Super Discount', 'Beverage', 'Burgers', 'Chinese', 'Fast Food', 'Pizza', 'Sandwiches', 'Pakistani']
247	Yasir Broast - Dha	3.8	176.0	Free delivery	No minimum	foodpanda delivery	['Pakistani', 'Fast Food']
248	Dogar Restaurant	4.1	64.0	Free delivery	No minimum	foodpanda delivery	['Super Discount', 'Fast Food', 'Pizza', 'Pakistani']
249	Cottage Grill & Gravy			Free delivery	No minimum	foodpanda delivery	['Chicken', 'Fast Food', 'Pakistani']
250	Dumpukht Kada			Free delivery	No minimum	foodpanda delivery	['Afghani', 'BBQ', 'Chicken', 'Fast Food', 'Pasta', 'Rice', 'Salad', 'Soup', 'Juices', 'Tea', 'Steaks', 'Tandoor', 'Beverage', 'Chinese', 'Fast Food', 'Pakistani']
251	MAA G KY PARATHY	5.0	1.0	Free delivery	No minimum	foodpanda delivery	['Paratha', 'Pakistani']
252	Mr Fluffy Fluffs			Free delivery	No minimum	foodpanda delivery	['Desserts']
253	Kernel's Kitchen	3.6	3.0	Free delivery	No minimum	foodpanda delivery	['BBQ', 'Ice Cream', 'Tea', 'Roll Paratha', 'Beverage', 'Fast Food']
254	Arabic Mandi			Free delivery	No minimum	foodpanda delivery	['Pakistani']
255	RPS MARKETPLACE TEST			Free delivery	No minimum	Restaurant Own delivery	['Chinese']
