	name	rating(out of 5)	rating_count	delivery_fee	min_order	delivery_option	food
57	Espresso	4.3	548.0	Free delivery	No minimum	Restaurant Own delivery	['Fast Food', 'Pasta', 'Salad', 'Wraps', 'Burgers', 'Desserts', 'Italian', 'Mexican', 'Sandwiches', 'Beverage']
58	Eataly Ristorante	3.8	24.0	Free delivery	No minimum	foodpanda delivery	['Italian']
59	The Delicatessen By Cosa Nostra	4.3	8.0	Free delivery	No minimum	foodpanda delivery	['Salad', 'Soup', 'Beverage', 'Pizza', 'Cakes & Bakery']
60	Butlers Chocolate Cafe	4.1	1282.0	Free delivery	No minimum	foodpanda delivery	['Chicken', 'Fast Food', 'Meat', 'Beverage', 'Pizza', 'Desserts']
61	second cup	4.0	119.0	Free delivery	No minimum	foodpanda delivery	['Desserts', 'Beverage']
62	Cafe Anokhi			Free delivery	No minimum	foodpanda delivery	['Chicken', 'Fried Chicken', 'Smoothie Bowl', 'Ice Cream Shakes', 'Juices', 'Tea', 'Coffee', 'Burgers', 'Middle Eastern', 'Pakistani', 'Pizza', 'Sandwiches', 'Fast Food']
63	Al Madina Naan Hut	3.8	32.0	Free delivery	No minimum		['Pakistani']
64	Mocca	4.0	76.0	Free delivery	No minimum	foodpanda delivery	['Salad', 'Waffle', 'Super Discount', 'Beverage', 'Desserts', 'Sandwiches', 'International']
65	Rice Bowl			 	No minimum	foodpanda delivery	['Chinese']
66	broadway test	4.2	673.0	Free delivery	No minimum	Restaurant Own delivery	['Pizza', 'Italian']
67	Ice Land - Gulberg	5.0	1.0	Free delivery	No minimum	foodpanda delivery	['Ice Cream Shakes', 'Juices', 'Desserts', 'Beverage']
68	Rizwan Biryani	4.2	368.0	Free delivery	No minimum	foodpanda delivery	['Pakistani']
69	Rizwan Burger	4.1	1799.0	Free delivery	No minimum	foodpanda delivery	['Fast Food']
70	The Urban Cafe Yogolicious	4.2	31.0	Free delivery	No minimum		['Pizza', 'Fast Food']
71	Vip Sabir Daal Chawal & Chicken Biryani	4.2	360.0	Free delivery	No minimum		['Pakistani']
72	Jalal Sons	4.3	343.0	Free delivery	No minimum	foodpanda delivery	['Pizza', 'Fast Food']
73	Sashas			Free delivery	No minimum	foodpanda delivery	['Chicken', 'Cupcakes', 'Ice Cream', 'Pancakes', 'Sweets', 'Waffle', 'Ice Cream Shakes', 'Tandoor', 'Beverage', 'Desserts', 'Sandwiches', 'International']
74	Burger Hub	4.2	329.0	Free delivery	No minimum	foodpanda delivery	['Super Discount', 'Burgers']
75	Rawayat - Bon Vivant	4.2	5.0	Free delivery	No minimum	foodpanda delivery	['Chicken', 'Fast Food', 'Meat', 'Rice', 'Fast Food']
76	Bon Vivant Palais			Free delivery	No minimum	foodpanda delivery	['Chicken', 'Meat', 'Rice', 'American']
77	OX & Grill Steak House			Free delivery	No minimum	foodpanda delivery	['Chicken', 'Salad', 'Soup', 'Steaks', 'Beverage', 'Burgers', 'Chinese', 'Sandwiches', 'American']
78	Cafe Barbera	4.0	223.0	Free delivery	No minimum	Restaurant Own delivery	['Chicken', 'Meat', 'Beverage', 'Italian', 'Pizza', 'Cakes & Bakery']
79	OPTP	4.0	2562.0	Free delivery	No minimum	foodpanda delivery	['Chicken', 'Fast Food', 'Fish', 'Snacks-Street Food', 'Hot dogs', 'Super Discount', 'Beverage', 'Burgers', 'Sandwiches', 'Seafood', 'Western', 'American']
80	New Beijing	3.8	316.0	Free delivery	No minimum		['Chicken', 'Fish', 'Meat', 'Soup', 'Seafood', 'Chinese']
81	Hardees	4.1	1591.0	Free delivery	No minimum	foodpanda delivery	['Chicken', 'Fish', 'Meat', 'Wraps', 'Super Discount', 'Beverage', 'Burgers', 'Desserts', 'Sandwiches', 'Seafood', 'American']
82	Zaiqa Lounge	4.5	2.0	Free delivery	No minimum	foodpanda delivery	['Roll Paratha', 'Fast Food', 'Seafood', 'Vegetarian', 'Pakistani']
83	The Cutlery			 	No minimum	foodpanda delivery	['Chicken', 'Chinese']
84	What A Paratha	4.7	7.0	Free delivery	No minimum		['Chicken', 'Meat', 'Wraps', 'Tandoor', 'Desserts', 'Pakistani']
85	McDonalds	4.2	2083.0	Free delivery	No minimum	Restaurant Own delivery	['Fast Food', 'Fish', 'Fried Chicken', 'Ice Cream', 'Pancakes', 'Wraps', 'Super Discount', 'American', 'Beverage', 'Burgers', 'Desserts', 'Fast Food']
86	Karachi Kanteen - Gulberg	4.0	143.0	Free delivery	No minimum	foodpanda delivery	['Pakistani']
87	Masooms Coffee & Bake Shop	3.8	140.0	Free delivery	No minimum	foodpanda delivery	['Crepes', 'Pancakes', 'Salad', 'Soup', 'Beverage', 'Burgers', 'Desserts', 'Sandwiches', 'Thai', 'American']
88	Supper House	3.8	96.0	Free delivery	No minimum	foodpanda delivery	['Thai', 'Chinese']
89	Nisa Sultan	4.0	123.0	Free delivery	No minimum	foodpanda delivery	['Turkish']
90	English Tea House	4.1	23.0	Free delivery	No minimum	foodpanda delivery	['Beverage']
91	Jessie's	4.0	73.0	Free delivery	No minimum	foodpanda delivery	['Fast Food']
92	Sweet Affairs	3.8	120.0	Free delivery	No minimum	foodpanda delivery	['Chicken', 'Noodles', 'Rice', 'Salad', 'Burgers', 'Chinese', 'Sandwiches', 'Seafood', 'Pizza']
93	Kings Kulfi	2.0	1.0	Free delivery	No minimum	foodpanda delivery	['Ice Cream', 'Super Discount', 'Desserts']
94	Chit Chaat - Gulberg	4.2	221.0	Free delivery	No minimum	Restaurant Own delivery	['Pakistani']
95	Qabail	3.0	14.0	Free delivery	No minimum	foodpanda delivery	['Super Discount', 'Pakistani']
96	Changsho	3.0	1.0	Free delivery	No minimum	foodpanda delivery	['Super Discount', 'Chinese']
97	Cinnabon	4.2	777.0	Free delivery	No minimum	foodpanda delivery	['Chicken', 'Meat', 'Super Discount', 'Sandwiches']
